folder,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02
774-western-michigan,29,30,30,29,30,21,31,30,33,32,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0
775-western-new-eng,28,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778-wheaton-il,27,27,25,26,27,12,28,28,28,29,28,27,25,28,26,0,0,0,0,0,0,0,0,0,0
779-wheaton-ma,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78-brockport,26,29,26,26,24,0,26,27,26,27,26,25,25,25,25,0,0,0,0,0,0,0,0,0,0
780-whitman,29,29,26,28,29,11,29,27,27,31,25,26,33,26,0,0,0,0,0,0,0,0,0,0,0
781-whittier,24,26,24,23,25,0,26,24,25,25,25,24,25,25,25,25,6,2,0,1,0,0,0,0,0
782-wichita-state,31,32,32,33,30,18,31,30,31,31,29,33,0,0,0,0,0,0,0,0,0,0,0,0,0
783-widener,27,27,29,27,26,11,27,28,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
784-wilkes,25,25,25,25,23,10,25,25,25,25,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0
786-william-&-mary,31,35,29,31,30,13,29,31,30,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787-william-paterson,28,30,25,28,24,9,26,25,30,26,27,26,28,0,0,0,0,0,0,0,0,0,0,0,0
789-williams-college,26,25,24,26,25,0,28,25,25,25,25,27,26,33,0,0,0,0,0,0,0,0,0,0,0
79-brooklyn,29,29,27,27,26,0,28,29,28,29,29,29,30,31,0,0,0,0,0,0,0,0,0,0,0
790-winona-st,30,28,28,28,27,12,27,28,30,31,34,28,27,6,0,0,0,0,0,0,0,0,0,0,0
791-winston-salem,32,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792-winthrop,32,31,30,30,30,24,30,30,30,31,29,30,33,33,31,31,31,0,0,0,0,0,0,0,0
793-wis-eau-claire,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794-green-bay,34,35,34,34,27,22,32,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795-wisconsin-la-crosse,31,29,27,25,26,9,27,28,28,27,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0
796-wisconsin,34,30,32,31,29,24,31,33,30,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797-milwaukee,32,32,32,30,30,28,31,30,33,34,32,30,30,29,30,30,31,33,31,31,31,0,0,0,0
798-wis-oshkosh,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799-wisconsin-parkside,29,28,28,29,29,21,30,27,30,27,27,30,26,31,30,0,0,0,0,0,0,0,0,0,0
8-alabama,35,31,34,31,34,27,30,31,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-brown,27,27,1,26,26,0,27,30,27,30,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0
800-wis-platteville,27,25,26,26,25,9,25,26,25,25,25,26,26,25,25,0,0,0,0,0,0,0,0,0,0
801-wisconsin-river-falls,28,26,26,25,25,8,25,25,26,26,29,25,25,25,28,0,0,0,0,0,0,0,0,0,0
802-wisconsin-stevens-point,26,27,25,25,22,9,26,26,26,26,29,27,27,1,29,0,0,0,0,0,0,27,33,27,33
803-wisconsin-stout,25,31,31,26,24,9,26,27,25,25,26,25,26,25,24,0,0,0,0,0,0,0,0,0,0
804-wisconsin-superior,28,28,27,24,25,10,27,27,28,28,28,27,28,27,26,25,0,0,0,0,0,0,0,0,0
